"",PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50
Mgp,0.0109794788798406,-0.00509311823881964,0.0877036828701611,-0.0438696314761644,0.0144839079961877,-0.0832983160605744,0.0420038216847757,0.0106732572334184,-0.0100049294215416,-0.0346053460200134,0.0129923709002598,0.0237098906874288,0.0674946611590074,0.0172863314620852,-0.0260148488352622,0.00269321959259581,0.00610219119823407,-0.0300674857963936,0.00473774741646045,-0.0194933412438183,-0.0359180075615341,-0.0199135431899527,0.0342546789538414,-0.0359110752206925,0.00197611322658526,-0.0185405768001644,0.00392664560836117,-0.0369991496855502,-0.0101555932951457,-0.0269413405284709,-0.00728452649162356,-0.00790605829496445,0.0250272936474512,0.0160403793763857,0.000379283897486427,0.0216338151334415,-0.00149850527321526,-0.00260948603941428,-0.027211481539436,-0.0296546019129275,-0.00514233066788494,0.0175888085653941,-0.0216158229420109,-0.00030760586167742,-0.0567814804177176,-0.00937146739977316,0.0445837964470335,-0.0257367391769057,-0.0113738687608215,0.0309680745651832
Col2a1,0.00504216833354718,-0.0179342464816665,0.062664038404264,-0.0418755792131671,0.00852069199567917,-0.115830557312387,0.0467158213675944,-0.0275148172418441,0.0157310377527308,-0.0245037765716394,0.0203302952943982,0.0182585439442052,0.0690267591157995,0.0684728365110892,0.0497626614395943,0.0302588036037857,0.0100466145660654,0.0152008972250654,-0.0211153383013939,-0.00579463487371866,0.0377053466957424,0.0125902321749028,-0.0295370232533061,-0.02080699456343,0.000215274659694763,0.0165946346461949,0.055735291234342,-0.0122985987017956,-0.0478865336194093,0.00580979011236469,0.0233415851579679,0.000419419251452548,0.00691452150558652,-0.00376552663398558,0.0108318679301967,-0.0244931191525032,-0.0518075356702103,0.0129462095273729,-0.0270235336424952,-0.0264879451389588,-0.0105048604110844,0.0709218903990567,-0.026995816700153,-0.0118142736492923,0.0376479825765551,0.0511199831380861,-0.0253026388490768,0.032118341403858,-0.0291724843902208,-0.0651890567242248
Col1a2,0.0486935148147496,0.0473959241111816,-0.0286409518891329,0.00387263613387202,-0.0390278759116117,-0.015195594984561,0.0383905201859902,0.0528108200976652,-0.0249857740585843,-0.0486808231795935,0.059387776612333,-0.00287401271407157,-0.0100750106042268,0.0301107005300569,0.0105956667279692,0.0100333135636596,0.0154341561883584,-0.0161157029785368,-0.0854992864358724,0.0277282542815185,0.0389882547847147,0.0455169542501262,0.0323106113555778,-0.00877860936441756,-0.0399472652282785,-0.00154705187093026,-0.0131985116923197,0.0347466760916966,0.0616095736158087,0.0227227207648292,0.0108984012366517,0.0235623330346381,0.020767545492411,-0.0115060817598503,0.0144093513313153,-0.0182066958148615,-0.0244623750726259,-0.00365279460743062,0.00672450547480215,-0.0299348976359133,0.00659201215488468,-0.0283881043453224,0.00881380526043735,-0.0124559128748069,0.0245206374660553,0.0072760634765219,0.0113916153949943,-0.00054179476783196,0.0143631343123675,0.0239679918894009
Cxcl10,0.0187675850520034,-0.0278626630146242,0.0115435646358769,0.0784218634723238,0.00837444073767211,0.010448364740673,0.020182565283066,0.0195588703583901,0.00617592876669702,-0.0344472053307112,-0.00602164151571004,-0.0102698639406427,0.0324052133413002,-0.0946935625340331,0.0192404180184116,0.0189135678560382,0.0230364542363113,0.0491567808625268,0.00715850910426666,-0.0170289505459626,-0.0384611110086907,-0.00241097008911623,-0.00886986302781106,-0.0377548246956577,-0.0399500916902036,0.0758971965289628,-0.0136436818557941,-0.0106454642975759,0.0391841696039032,-0.0405736039407072,0.0258064741381031,0.0110875990891736,-0.0256992407880844,0.0231499833580525,-0.0709194882763182,0.0300602488580965,0.0113028146772357,0.0537273586876628,0.0259171643507671,-0.0196376338482338,0.0319073075684302,0.0565134512401935,-0.0251463906654604,-0.0626691449533596,-0.00643848012865611,-0.049029675899038,-0.0178607188941203,-0.0574519313974266,0.00320787696871629,-0.0348644368692152
Ucma,0.0042985589138877,0.000427067219269391,0.0626519420768114,-0.0336153409178943,0.00993904751080724,-0.0791641851937662,0.0477347328305093,0.0146032066483665,-0.0189922127071467,-0.0402800571554844,0.0230815372921913,0.0408731888031299,0.123844886441229,0.00743716117122752,-0.0248592800628202,0.040151496278973,-0.00285442426188267,-0.0143271599416245,-0.00985959871559245,-0.0108734138521616,0.0313871188574607,0.011143180962556,-0.0293941169868916,-0.0690453550079073,-0.0192460215604491,-0.0101058711148907,0.0474330618461905,-0.0283773044505377,-0.053984809691215,0.0419581780418216,0.00949860646248908,-0.0357584309627231,0.00695557565821822,-0.0607977341266677,-0.0287461404426587,-0.0282731068526503,0.0192000494340353,-0.0492441147597922,0.0162022517346123,-0.0175077723735175,0.00212574023698227,0.0282831141945412,-0.0536568333035547,0.0134794879508946,-0.00851089273364228,-0.0230976012237424,0.0231393903192484,-0.0176284184030684,-0.00975290861450721,-0.00920344365283757
Col3a1,0.046068721084402,0.0445768306975528,-0.0383387434019193,0.00393630973742433,-0.0522508803867916,-0.0306513901930136,0.0440412945809747,0.0453350787196857,-0.0289874760724065,-0.0262431495353196,0.0506186747664447,0.0228316764333547,-0.0337616118411208,0.00537342094448101,0.0320916509647609,0.00693533763352315,0.017625822845392,-0.0234466684150716,-0.0819021564243418,0.0662946851394278,0.0341677060686617,-0.0188311369543196,0.0503304047771097,0.0229917309936776,-0.0112362672993042,0.0400484759580523,0.0243059040197793,0.00936839517261932,0.00824606078695646,-0.000361017832204057,0.0274797035225282,0.0276568514266195,0.0045855883817146,0.026680417495898,-0.0244648860759287,-0.0114970782180363,0.00196759818802806,0.0134429526820598,-0.0272561538727918,-0.000955095472104589,-0.00422352396005015,-0.0461102954538177,-0.0026690617095197,-0.0415415904143318,0.0194839993672871,0.0171782717717017,-0.0296095889383375,0.0251856505906956,0.0188958993175674,0.00746155558057949
Gfap,0.0287879744896025,0.00364878682819811,0.0474333759983241,0.00995847973561683,0.031187333546859,-0.00839148295595927,0.00613935874976238,-0.0205686648454586,-0.00628604425094401,-0.0169069016704159,-0.0656204525137708,-0.00636616546119493,0.0613011486255059,0.000796134979849564,-0.0313517170651203,-0.0235749037979818,0.0372582238753262,0.0247055369432899,-0.0753863253527493,-0.0169573084904086,0.0793121067717571,0.0454313586571916,-0.0532520296062421,-0.0276398542579543,-0.0272066647649357,0.0116699372284206,0.0275642948002868,0.0300524101403261,0.0296971433092284,-0.0350734016442909,0.00394574315619167,-0.00032712391238056,-0.0351359673853738,0.0700884431011985,-0.0336439803515961,-0.0408329019454484,0.030851965235819,0.00680934030789546,0.0287775021330778,-0.0487396563591457,-0.0176448625276571,-0.0811573057747513,0.0404382951422926,-0.0183649054444662,0.0517279611259422,-0.024918056773677,0.0155985428390435,-0.000215367659089562,-0.0474793908323645,-0.0639611303375058
Fgl2,0.0537343686589814,0.0359490896183357,0.0304173489905462,0.0126851000199308,0.0592440358609899,0.0518697990060996,-0.0384965824387104,-0.0350001859217558,0.0132021507058501,0.0607421162392091,-0.0821481477553559,-0.0285167415834439,-0.00105400688773274,-0.0128045772749044,-0.0130985012360074,0.0257348634079011,-0.00704718243864949,-0.0645578767251572,-0.0370888778207009,0.000150048769395736,0.0213931123576829,-0.000800497313094987,0.027749716679097,-0.0141723281798264,-0.0209492150549067,-0.00553810230355428,0.030125093179073,0.0175338831736048,-0.00977556090542059,0.00121614891916902,0.00892857792328728,-0.0197762292367271,-0.000532194177649548,-0.0417148355684627,-0.0325952465628495,-0.000205883177469807,0.0186353715103154,0.0459695168749403,-0.0231466125312037,0.00908850477381069,0.00153751540662074,-0.00418169956648085,0.00909808284500961,-0.0316712669428239,-0.0162620724295652,0.00321895594869473,-0.00885350243599208,0.0150049377386723,0.0225500355602451,-0.0123742297758209
Hspa1a,0.036521213145142,0.0229820041715389,0.0123590370221792,-0.00527558443070347,-0.00291462052629638,-0.0138851578584814,0.00702562402000155,-0.0187888307746608,0.00705392578251497,0.0319443074798788,-0.0418576568099102,-0.000101963724487673,-0.00984027094516646,-0.0579819642942584,0.0424816036138381,-0.00327821352252336,0.00730132534999054,-0.0760565550465974,-0.0830998324509904,0.0467883069476488,0.00862099361404884,-0.0650923634776813,-0.0168787875031939,0.00792164853154182,0.0397141934663741,0.00378718799343873,0.00471547699047589,-0.0207376919615112,0.00219557369973758,-0.0277206351928676,0.0114751558947285,-0.00763484187013436,0.0207062536732311,0.0411298269011781,-0.00802835056356951,0.0107879142810698,-0.0345139233069446,0.0235282687615868,0.00692669615540572,0.0117153750865216,0.0221668139129009,-0.0142728671093664,0.00163122928612904,-0.0097224510895212,0.024006674063089,0.0308220900991365,-0.00652203088712076,0.00257777532457122,0.00583416791323925,0.0325560940631501
Hist1h2ap,-0.0120751713232023,0.0172944738765848,-0.0031463203535422,-0.00157428546979624,0.0205078694158701,0.0556909334683198,0.0792007265887299,-0.015830609297332,0.0547164145535198,-0.00337335346753085,0.0106982216312522,0.0557532999029675,-0.00958060622937011,-0.0120603292807025,0.00513085943819919,-0.0125481105167515,-0.0185651215112143,-0.00384352547031037,-0.00359519858424695,-0.0202946322895806,0.060347113382226,0.057392919416338,0.01776434090273,-0.0659534769810191,0.0320585114848179,0.0703918414592837,-0.0921083804756334,-0.0185113138264111,-0.0670248563077407,-0.107686664862728,0.0342780491779443,0.052810659008896,0.00393173123551952,-0.0387949486963779,0.0613906174081903,-0.0148768446326525,-0.0314496527887787,-0.0174043268815711,-0.0048854219147077,0.0479199992457025,0.00222578377633711,-0.00408893823174708,0.0262477617891544,0.038641068401845,-0.0452949304870407,-0.0761051159838981,-0.0161296757419126,0.0531294180598096,0.0103037037738975,-0.0430309746084343
